##	TAG	<div1>
##	TAG	<head>
1	TOK	INTRODUCTION	BOS	introduction\N5S
tf	TOK		EOS	=\DELS
##	TAG	</head>
##	TAG	<p>
##	TAG	<s>
3	TOK	This	BOS	this\RDS3N-
4	TOK	is		be\V6FDRS3
5	TOK	a		a\AI---S
6	TOK	special		special\JA
7	TOK	time		time\N5S
8	TOK	in		in\P
9	TOK	medical		medical\JA
10	TOK	genetics		genetics\N56
---	DLD	,		=\DELIM
11	TOK	when		when\CS
12	TOK	it		it\RPS3N6
13	TOK	has		have\V6FDRS3
14	TOK	achieved		achieve\VMC----
15	TOK	a		a\AI---S
16	TOK	recognized		recognize\VMC----
17	TOK	role		role\N5S
18	TOK	as		as\P
19	TOK	a		a\AI---S
20	TOK	core		core\N5S
21	TOK	discipline		discipline\N5S
22	TOK	that		that\RW63N6
23	TOK	deals		deal\VMFDRS3
24	TOK	with		with\P
25	TOK	human		human\JA
26	TOK	variability		variability\N5S
27	TOK	and		and\CC
28	TOK	human		human\JA
29	TOK	heredity		heredity\N5S
30	TOK	and		and\CC
31	TOK	at		at\P
32	TOK	the		the\AT---6
33	TOK	same		same\JA
34	TOK	time		time\N5S
35	TOK	has		have\V6FDRS3
36	TOK	developed		develop\VMC----
37	TOK	approaches		approach\N5P
38	TOK	that		that\RW63N6
39	TOK	allow		allow\VMF6R66
40	TOK	new		new\JA
41	TOK	insight		insight\N5S
42	TOK	into		into\P
43	TOK	many		many\AI---P
44	TOK	diseases		disease\N5P
45	TOK	and		and\CC
46	TOK	promise		promise\N5S
47	TOK	to		to\P
48	TOK	provide		provide\VMI----
49	TOK	far		far\DGA7
50	TOK	more		more\DDC7
51	TOK	in		in\P
52	TOK	the		the\AT---6
53	TOK	near		near\JA
54	TOK	future		future\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
55	TOK	To	BOS	to\P
56	TOK	give		give\VMI----
57	TOK	patients		patient\N5P
58	TOK	and		and\CC
59	TOK	their		their\APP3N6
60	TOK	families		family\N5P
61	TOK	the		the\AT---6
62	TOK	full		full\JA
63	TOK	benefit		benefit\N5S
64	TOK	of		of\P
65	TOK	expanding		expand\VMG----
66	TOK	genetic		genetic\JA
67	TOK	knowledge		knowledge\N5S
---	DLD	,		=\DELIM
68	TOK	physicians		physician\N5P
69	TOK	and		and\CC
70	TOK	their		their\APP3N6
71	TOK	colleagues		colleague\N5P
72	TOK	in		in\P
73	TOK	the		the\AT---6
74	TOK	health		health\N5S
75	TOK	professions		profession\N5P
76	TOK	need		need\V6F6R66
77	TOK	to		to\P
78	TOK	understand		understand\VMI----
79	TOK	the		the\AT---6
80	TOK	underlying		underlying\JA
81	TOK	concepts		concept\N5P
82	TOK	of		of\P
83	TOK	human		human\JA
84	TOK	gene		gene\N5S
85	TOK	tics		tic\N5P
86	TOK	and		and\CC
87	TOK	the		the\AT---6
88	TOK	role		role\N5S
89	TOK	of		of\P
90	TOK	genes		gene\N5P
91	TOK	and		and\CC
92	TOK	environment		environment\N5S
93	TOK	in		in\P
94	TOK	normal		normal\JA
95	TOK	and		and\CC
96	TOK	abnormal		abnormal\JA
97	TOK	development		development\N5S
98	TOK	and		and\CC
99	TOK	in		in\P
100	TOK	disease		disease\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<head>
101	TOK	ROLE	BOS	role\N5S
102	TOK	OF		OF\N5S
103	TOK	GENETICS		GENETICS\N5P
104	TOK	IN		in\N5S
105	TOK	MEDICINE	EOS	medicine\N5S
##	TAG	</head>
##	TAG	<p>
##	TAG	<s>
107	TOK	The	BOS	the\AT---6
108	TOK	place		place\N5S
109	TOK	of		of\P
110	TOK	genetics		genetics\N56
111	TOK	in		in\P
112	TOK	medicine		medicine\N5S
113	TOK	was		be\V6F-A66
114	TOK	not		not\DGA7
115	TOK	always		always\DGA7
116	TOK	as		as\CS
117	TOK	obvious		obvious\JA
118	TOK	as		as\CS
119	TOK	it		it\RPS3N6
120	TOK	is		be\V6FDRS3
121	TOK	today		today\DGA7
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
122	TOK	Although	BOS	although\CS
123	TOK	its		its\APS3N6
124	TOK	significance		significance\N5S
125	TOK	both		both\RIP3N-
126	TOK	for		for\P
127	TOK	the		the\AT---6
128	TOK	conceptual		conceptual\JA
129	TOK	basis		basis\N5S
130	TOK	of		of\P
131	TOK	medicine		medicine\N5S
132	TOK	and		and\CC
133	TOK	for		for\P
134	TOK	clinical		clinical\JA
135	TOK	practice		practice\N5S
136	TOK	is		be\V6FDRS3
137	TOK	now		now\DGA7
138	TOK	fully		fully\DGA7
139	TOK	recognized		recognize\VMF6A66
---	DLD	,		=\DELIM
140	TOK	not		not\DGA7
141	TOK	many		many\AI---P
142	TOK	years		year\N5P
143	TOK	ago		ago\DGA7
144	TOK	the		the\AT---6
145	TOK	subject		subject\N5S
146	TOK	was		be\V6F-A66
147	TOK	thought		think\VMC----
148	TOK	to		to\P
149	TOK	be		be\VMI----
150	TOK	concerned		concern\VMC----
151	TOK	only		only\DGA7
152	TOK	with		with\P
153	TOK	the		the\AT---6
154	TOK	inheritance		inheritance\N5S
155	TOK	of		of\P
156	TOK	trivial		trivial\JA
---	DLD	,		=\DELIM
157	TOK	superficial		superficial\JA
---	DLD	,		=\DELIM
158	TOK	and		and\CC
159	TOK	rare		rare\JA
160	TOK	characteristics		characteristic\N5P
---	DLD	;		=\DELIM
161	TOK	the		the\AT---6
162	TOK	fundamental		fundamental\JA
163	TOK	role		role\N5S
164	TOK	of		of\P
165	TOK	the		the\AT---6
166	TOK	gene		gene\N5S
167	TOK	in		in\P
168	TOK	basic		basic\JA
169	TOK	life		life\N5S
170	TOK	processes		process\N5P
171	TOK	was		be\V6F-A66
172	TOK	not		not\DGA7
173	TOK	understood		understand\VMF6A66
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
174	TOK	The	BOS	the\AT---6
175	TOK	discovery		discovery\N5S
176	TOK	of		of\P
177	TOK	the		the\AT---6
178	TOK	principles		principle\N5P
179	TOK	of		of\P
180	TOK	heredity		heredity\N5S
181	TOK	by		by\P
182	TOK	the		the\AT---6
##	TAG	<loc pos="JA">
183	TOK	Austrian		austrian\JA
##	TAG	</loc>
184	TOK	monk		monk\N5S
##	TAG	<name>
185	TOK	Gregor Mendel		Gregor_Mendel\N46
##	TAG	</name>
186	TOK	in		in\P
##	TAG	<num>
187	TOK	1865		1865\X
##	TAG	</num>
188	TOK	received		receive\VMF6A66
189	TOK	virtually		virtually\DGA7
190	TOK	no		no\AI---6
191	TOK	recognition		recognition\N5S
192	TOK	from		from\P
193	TOK	biologists		biologist\N5P
194	TOK	and		and\CC
195	TOK	none		none\RIS3N-
196	TOK	at		at\P
197	TOK	all		all\AG---6
198	TOK	from		from\P
199	TOK	other		other\JA
200	TOK	scientists		scientist\N5P
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
201	TOK	Instead	BOS	instead\DGA7
---	DLD	,		=\DELIM
202	TOK	his		his\APS3M6
203	TOK	reports		report\N5P
204	TOK	lay		lay\VMF6R66
205	TOK	unnoticed		unnoticed\JA
206	TOK	in		in\P
207	TOK	the		the\AT---6
208	TOK	scientific		scientific\JA
209	TOK	literature		literature\N5S
210	TOK	for		for\P
##	TAG	<num>
211	TOK	35		35\X
##	TAG	</num>
212	TOK	years		year\N5P
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
##	TAG	<name>
213	TOK	Charles Darwin	BOS	Charles_Darwin\N46
##	TAG	</name>
---	DLE	,		=\DELIM
214	TOK	whose		whose\AW---6
215	TOK	great		great\JA
216	TOK	book		book\N5S
##	TAG	<name>
217	TOK	The Origin of Species		The_Origin_of_Species\N46
##	TAG	</name>
---	DLE	(		=\DELIM
218	TOK	published		publish\VMC----
219	TOK	in		in\P
##	TAG	<num>
220	TOK	1859		1859\X
##	TAG	</num>
---	DLE	)		=\DELIM
221	TOK	emphasized		emphasize\VMC----
222	TOK	the		the\AT---6
223	TOK	hereditary		hereditary\JA
224	TOK	nature		nature\N5S
225	TOK	of		of\P
226	TOK	variability		variability\N5S
227	TOK	among		among\P
228	TOK	members		member\N5P
229	TOK	of		of\P
230	TOK	a		a\AI---S
231	TOK	species		species\N56
232	TOK	as		as\P
233	TOK	an		an\AI---S
234	TOK	important		important\JA
235	TOK	factor		factor\N5S
236	TOK	in		in\P
237	TOK	evolution		evolution\N5S
---	DLD	,		=\DELIM
238	TOK	had		have\V6F6A66
239	TOK	no		no\AI---6
240	TOK	idea		idea\N5S
241	TOK	how		how\DGAW
242	TOK	inheritance		inheritance\N5S
243	TOK	operated		operate\VMF6A66
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
244	TOK	At	BOS	at\P
245	TOK	that		that\AD---S
246	TOK	time		time\N5S
247	TOK	heredity		heredity\N5S
248	TOK	was		be\V6F-A66
249	TOK	thought		think\VMC----
250	TOK	to		to\P
251	TOK	involve		involve\VMI----
252	TOK	blending		blend\VMG----
253	TOK	of		of\P
254	TOK	the		the\AT---6
255	TOK	traits		trait\N5P
256	TOK	of		of\P
257	TOK	the		the\AT---6
##	TAG	<num>
258	TOK	two		two\X
##	TAG	</num>
259	TOK	parents		parent\N5P
---	DLD	,		=\DELIM
260	TOK	and		and\CC
##	TAG	<name>
261	TOK	Jean Baptiste Lamarck		Jean_Baptiste_Lamarck\N46
##	TAG	</name>
262	PGR	's		genmark\GENMARK
263	TOK	idea		idea\N5S
264	TOK	of		of\P
265	TOK	the		the\AT---6
266	TOK	inheritance		inheritance\N5S
267	TOK	of		of\P
268	TOK	acquired		acquire\VMC----
269	TOK	characteristics		characteristic\N5P
270	TOK	was		be\V6F-A66
271	TOK	still		still\DGA7
272	TOK	accepted		accept\VMF6A66
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
##	TAG	<name>
273	TOK	Mendelts	BOS	Mendelts\N46
##	TAG	</name>
274	TOK	work		work\N5S
275	TOK	could		can\VOFDA66
276	TOK	have		have\VMI----
277	TOK	clarified		clarify\VMC----
##	TAG	<name>
278	TOK	Darwin		Darwin\N46
##	TAG	</name>
279	PGR	's		genmark\GENMARK
280	TOK	concept		concept\N5S
281	TOK	of		of\P
282	TOK	the		the\AT---6
